Command term	Definition
Analyse	Break down in order to bring out the essential elements or structure. (To identify parts and relationships, and interpret information to reach conclusions.).
Evaluate	Make an appraisal by weighing up the strengths and limitations.
Identify	Provide an answer from a number of possibilities. Recognize and state briefly a distinguishing fact or feature.
Interpret	Use knowledge and understanding to recognize trends and draw conclusions from given information.
Synthesize	Combine different ideas in order to create new understanding.
